time,corridor,hs6,desc,value_usd
2023-01,CN->BR,340231,,66361
2023-01,CN->BR,340239,,1622269
2023-01,CN->BR,340241,,7329
2023-01,CN->BR,340242,,1296281
2023-01,CN->BR,340249,,24698
2023-01,CN->BR,340290,,328931.0
2023-01,CN->BR,340319,,4416
2023-01,CN->BR,340399,,35920
2023-01,CN->BR,340420,,115414
2023-01,CN->BR,340490,,1252366.0
2023-01,CN->BR,340600,,164794
2023-01,CN->BR,340700,,265911.0
2023-01,CN->BR,350290,,420
2023-01,CN->BR,350300,,411787.0
2023-01,CN->BR,350400,,1606161.0
2023-01,CN->BR,350510,,21726
2023-01,CN->BR,350610,,6665874.0
2023-01,CN->BR,350691,,2201255.0
2023-01,CN->BR,350699,,214238
2023-01,CN->BR,350790,,2129368.0
2023-01,CN->BR,360410,,78514
2023-01,CN->BR,360690,,123050
2023-01,CN->BR,370130,,2965.0
2023-01,CN->BR,370199,,4137
2023-01,CN->BR,370244,,14788.0
2023-01,CN->BR,370310,,4318
2023-01,CN->BR,370320,,8689
2023-01,CN->BR,370390,,478
2023-01,CN->BR,370500,,4436
2023-01,CN->BR,370790,,296397.0
2023-01,CN->BR,380110,,497839
2023-01,CN->BR,380190,,508171
2023-01,CN->BR,380210,,219733
2023-01,CN->BR,380290,,146005.0
2023-01,CN->BR,380400,,4683
2023-01,CN->BR,380590,,4619
2023-01,CN->BR,380620,,3475
2023-01,CN->BR,380859,,126687
2023-01,CN->BR,380862,,15688717
2023-01,CN->BR,380869,,7629511
2023-01,CN->BR,380891,,18726210.0
2023-01,CN->BR,380892,,3035942
2023-01,CN->BR,380893,,30637477.0
2023-01,CN->BR,380894,,822028.0
2023-01,CN->BR,380899,,1376415.0
2023-01,CN->BR,380910,,3027
2023-01,CN->BR,380991,,227734.0
2023-01,CN->BR,380992,,30996
2023-01,CN->BR,380993,,528654
2023-01,CN->BR,381010,,823
2023-01,CN->BR,381090,,59591
2023-01,CN->BR,381121,,420730.0
2023-01,CN->BR,381129,,87799
2023-01,CN->BR,381190,,33424
2023-01,CN->BR,381210,,401333
2023-01,CN->BR,381231,,474282
2023-01,CN->BR,381239,,1101808.0
2023-01,CN->BR,381300,,43499
2023-01,CN->BR,381400,,74646
2023-01,CN->BR,381511,,10930
2023-01,CN->BR,381512,,506024
2023-01,CN->BR,381519,,438674
2023-01,CN->BR,381590,,203419.0
2023-01,CN->BR,381600,,8823.0
2023-01,CN->BR,382000,,2522
2023-01,CN->BR,382212,,47427
2023-01,CN->BR,382219,,2407521.0
2023-01,CN->BR,382290,,551805
2023-01,CN->BR,382370,,50810
2023-01,CN->BR,382410,,2316
2023-01,CN->BR,382430,,38450
2023-01,CN->BR,382440,,111265
2023-01,CN->BR,382460,,37133
2023-01,CN->BR,382499,,5632673.0
2023-01,CN->BR,382731,,329567
2023-01,CN->BR,382761,,2045912
2023-01,CN->BR,382763,,1918457
2023-01,CN->BR,390110,,13668
