corridor,hs6,desc,recent_avg_usd,baseline_avg_usd,growth_pct,z_score,recent_months,score
BR->US,020130,"MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CHILLED",23492170,14344778,63.8,1.65,"2026-04,2026-05,2026-06",12.161089477129417
BR->US,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",1967878,603785,225.9,1.9,"2026-04,2026-05,2026-06",11.941138497988842
BR->US,340241,CATIONIC ORGANIC SURFACE-ACTIVE AGENTS,109977,34158,222.0,2.37,"2026-04,2026-05,2026-06",11.93504715611699
BR->US,253010,"VERMICULITE, PERLITE AND CHLORITES, UNEXPANDED",130660,29764,339.0,2.33,"2026-04,2026-05,2026-06",11.896276851884409
BR->US,940110,SEATS OF A KIND USED FOR AIRCRAFT,152069,74664,103.7,2.28,"2026-04,2026-05,2026-06",11.814862025756762
BR->US,401699,ARTICLES OF SOFT VULCANIZED RUBBER NESOI,1297807,741652,75.0,1.92,"2026-04,2026-05,2026-06",11.763362282145692
BR->US,848110,PRESSURE-REDUCING VALVES,113118,42704,164.9,2.25,"2026-04,2026-05,2026-06",11.350848888792566
BR->US,190110,"FOOD PREPARATIONS FOR INFANTS, RETAIL SALE NESOI",142686,60417,136.2,2.17,"2026-04,2026-05,2026-06",11.193821773550278
BR->US,820130,"MATTOCKS,PICKS,HOES AND RAKES,A PTS, OF BSE MTL",1374975,700304,96.3,1.81,"2026-04,2026-05,2026-06",11.092971474692437
BR->US,870322,"PASS MTR VEH,SPARK IGN ENG, >1000CC BUT =<1500CC",177334,83678,111.9,2.09,"2026-04,2026-05,2026-06",10.988476029545822
BR->US,591190,TEXTILE PRODUCTS ETC FOR TECHNICAL USES NESOI,301474,110433,173.0,2.0,"2026-04,2026-05,2026-06",10.948980577394817
BR->US,320190,"TANNING EXTRACTS OF VEGETABLE ORIGIN, NESOI, ETC",195845,50162,290.4,2.04,"2026-04,2026-05,2026-06",10.820822261947619
BR->US,940330,"WOODEN OFFICE FURNITURE, EXCEPT SEATS",100905,39413,156.0,2.13,"2026-04,2026-05,2026-06",10.660582507374064
BR->US,854620,ELECTRICAL INSULATORS OF CERAMICS,1405657,750131,87.4,1.72,"2026-04,2026-05,2026-06",10.596624501044033
BR->US,850433,"TRANSF NESOI, POWER HANDLING CAP >16 NOV 500 KVA",389948,127089,206.8,1.87,"2026-04,2026-05,2026-06",10.476021810033501
BR->US,410441,"TAN/CRUS HID/SKN BOV/EQ,FUL GRN UNSP;GRN SP,DRY ST",523035,225097,132.4,1.82,"2026-04,2026-05,2026-06",10.421264207777524
BR->US,902219,"APPARATUS BASE ON X-RAY FOR OTH USE,EX MEDICAL,ETC",300498,86252,248.4,1.89,"2026-04,2026-05,2026-06",10.37058280459122
BR->US,850239,"GENERATING SETS, ELECTRIC, NESOI",1742474,711105,145.0,1.66,"2026-04,2026-05,2026-06",10.366304628543462
BR->US,850450,ELECTRICAL INDUCTORS NESOI,3169704,1907853,66.1,1.56,"2026-04,2026-05,2026-06",10.134061531138016
BR->US,820780,TOOLS FOR TURNING OF BASE METAL,122756,64358,90.7,1.99,"2026-04,2026-05,2026-06",10.105668779545377
BR->US,850220,GENERATING SET W SPARK-IGNITION INT COMBUSTION ENG,1320480,827104,59.7,1.64,"2026-04,2026-05,2026-06",10.032086287780187
BR->US,902121,ARTIFICIAL TEETH AND PARTS AND ACCESSORIES,3694932,1086279,240.1,1.52,"2026-04,2026-05,2026-06",10.01297931101715
BR->US,903180,"MEAS CHECKNG INSTRUMENT & MACH, NOT OPTICAL, NESOI",753533,389755,93.3,1.65,"2026-04,2026-05,2026-06",9.689676132552249
BR->US,680520,ABRASIVES ON A BASE OF PAPER OR PAPERBOARD ONLY,104413,69485,50.3,1.92,"2026-04,2026-05,2026-06",9.66069742372439
BR->US,200190,VEGT/FRUIT/NUTS ETC NESOI PREP/PRES BY VINEGAR ETC,140274,50967,175.2,1.87,"2026-04,2026-05,2026-06",9.648494938763566
BR->US,870850,DRIVE AXLES WITH DIFFERENTIAL FOR MOTOR VEHICLES,874850,545300,60.4,1.61,"2026-04,2026-05,2026-06",9.578327981092873
BR->US,291412,BUTANONE,608713,185038,229.0,1.62,"2026-04,2026-05,2026-06",9.391703688699808
BR->US,210220,"YEASTS, INACTIVE; OTH SINGLE-CELL DEAD MICRO-ORGNM",4474885,2833914,57.9,1.41,"2026-04,2026-05,2026-06",9.354122159568213
BR->US,680223,GRANITE MON OR BLDG STONE SMPLY CUT OR SAWN,292894,121580,140.9,1.69,"2026-04,2026-05,2026-06",9.257331533327521
BR->US,843143,"PARTS FOR BORING OR SINKING MACHINERY, NESOI",155085,52436,195.8,1.75,"2026-04,2026-05,2026-06",9.101833934075263
BR->US,620443,"WOMEN'S OR GIRLS' DRESSES SYNTHETIC FIBERS, NT KT",190354,104262,82.6,1.7,"2026-04,2026-05,2026-06",8.956110285942085
BR->US,760612,"ALUMINUM ALLOY RECT PLATES ETC, OVER .2 MM THICK",32860301,17994423,82.6,1.19,"2026-04,2026-05,2026-06",8.956031436700531
BR->US,720241,FERROCHROMIUM OVER 4 PERCENT CARBON,2946380,527131,458.9,1.38,"2026-04,2026-05,2026-06",8.95205216573286
BR->US,610443,"WOMEN'S OR GIRLS' DRESSES SYNTHETIC FIBERS, KNIT",131245,76823,70.8,1.74,"2026-04,2026-05,2026-06",8.922487175104708
BR->US,190300,"TAPIOCA AND SUBSTITUTES FROM STARCH IN FLAKES, ETC",385099,229810,67.6,1.59,"2026-04,2026-05,2026-06",8.896704175425976
BR->US,401170,"NEW PNEUMATIC RUBBER TIRES,USED ON AG/FORESTRY VEH",145713,76762,89.8,1.7,"2026-04,2026-05,2026-06",8.760782386350783
BR->US,330491,"POWDER MAKE-UP, ETC. PREPS, INCL ROUGE & BABY PWDR",573747,214348,167.7,1.52,"2026-04,2026-05,2026-06",8.757587811822557
BR->US,381121,ADDITIVE FOR LUB OIL CONT PETRO/BITUMINOUS MINOIL,547294,171415,219.3,1.52,"2026-04,2026-05,2026-06",8.738800374217835
BR->US,848220,"TAPERED ROLL BRG, INCL CONE & ROLLER ASSEMBLIES",290635,149915,93.9,1.6,"2026-04,2026-05,2026-06",8.714775986403357
BR->US,350691,"ADHESIVES BASED ON RUBBER,POLMR OF HD3901-3913,NES",333725,146453,127.9,1.57,"2026-04,2026-05,2026-06",8.681035869242018
BR->US,843780,"MACH F MILLING OR WORKING CEREALS & VEG, EXC FARM",219147,84640,158.9,1.61,"2026-04,2026-05,2026-06",8.57564010195162
